NAME,Total Population,state,congressional district,state_fips,state_abbrev,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
"Congressional District 10 (116th Congress), Florida",823865.0,Florida,10,12,FL,28.37,5.08,0.12,26.93,35.94,0.06,1.06,2.45,15.03
"Congressional District 4 (116th Congress), Florida",800945.0,Florida,04,12,FL,8.51,4.47,0.25,9.16,74.39,0.04,0.4,2.77,8.67
"Congressional District 13 (116th Congress), Florida",729991.0,Florida,13,12,FL,10.24,3.5,0.22,12.07,71.1,0.09,0.3,2.48,13.28
"Congressional District 26 (116th Congress), Florida",768910.0,Florida,26,12,FL,70.93,1.72,0.08,10.19,16.01,0.02,0.3,0.74,15.23
"Congressional District 22 (116th Congress), Florida",755091.0,Florida,22,12,FL,22.44,3.16,0.12,14.65,57.16,0.03,0.61,1.81,11.15
"Congressional District 9 (116th Congress), Florida",869762.0,Florida,09,12,FL,41.61,2.92,0.2,12.11,40.86,0.06,0.43,1.81,14.8
"Congressional District 19 (116th Congress), Florida",813477.0,Florida,19,12,FL,20.39,1.7,0.14,7.6,68.8,0.03,0.26,1.08,11.87
"Congressional District 1 (116th Congress), Florida",771279.0,Florida,01,12,FL,6.59,2.48,0.36,13.15,73.06,0.11,0.2,4.04,12.21
"Congressional District 7 (116th Congress), Florida",768317.0,Florida,07,12,FL,25.67,4.59,0.15,9.85,57.0,0.04,0.52,2.19,13.04
"Congressional District 27 (116th Congress), Florida",747186.0,Florida,27,12,FL,72.44,1.89,0.04,3.79,20.73,0.02,0.3,0.8,14.4
"Congressional District 3 (116th Congress), Georgia",735074.0,Georgia,03,13,GA,5.74,2.03,0.23,24.66,64.88,0.06,0.37,2.03,13.34
"Congressional District 10 (116th Congress), Georgia",750524.0,Georgia,10,13,GA,5.76,2.05,0.09,25.43,64.52,0.05,0.2,1.9,15.73
"Congressional District 4 (116th Congress), Georgia",755681.0,Georgia,04,13,GA,9.58,5.02,0.21,59.89,22.74,0.08,0.37,2.11,15.27
"Congressional District 5 (116th Congress), Georgia",771987.0,Georgia,05,13,GA,6.48,4.3,0.16,57.36,29.01,0.04,0.47,2.18,20.06
"Congressional District 13 (116th Congress), Georgia",759765.0,Georgia,13,13,GA,11.42,2.65,0.08,58.88,24.55,0.02,0.25,2.14,13.38
"Congressional District 7 (116th Congress), Georgia",811492.0,Georgia,07,13,GA,19.52,14.27,0.14,19.85,43.49,0.02,0.44,2.28,9.31
"Congressional District 2 (116th Congress), Georgia",670498.0,Georgia,02,13,GA,5.26,1.13,0.21,51.58,39.9,0.08,0.15,1.68,25.45
"Congressional District 14 (116th Congress), Georgia",717132.0,Georgia,14,13,GA,11.71,0.94,0.21,8.77,76.05,0.02,0.19,2.11,14.24
"Congressional District 11 (116th Congress), Georgia",765954.0,Georgia,11,13,GA,11.13,3.37,0.11,16.45,66.43,0.04,0.41,2.06,9.38
"Congressional District 12 (116th Congress), Georgia",724066.0,Georgia,12,13,GA,6.26,1.63,0.18,34.55,54.9,0.09,0.4,2.0,20.22
"Congressional District 1 (116th Congress), Idaho",888809.0,Idaho,01,16,ID,11.08,1.23,1.21,0.58,83.38,0.16,0.08,2.28,12.08
"Congressional District 1 (116th Congress), Hawaii",710794.0,Hawaii,01,15,HI,8.73,48.93,0.08,2.05,15.59,7.24,0.11,17.26,7.87
"Congressional District 2 (116th Congress), Hawaii",711300.0,Hawaii,02,15,HI,12.24,24.86,0.23,1.38,28.38,11.48,0.19,21.24,11.01
"Congressional District 18 (116th Congress), Illinois",705247.0,Illinois,18,17,IL,2.89,2.75,0.18,3.8,88.54,0.01,0.1,1.74,9.59
"Congressional District 2 (116th Congress), Illinois",698741.0,Illinois,02,17,IL,14.28,0.75,0.09,56.76,26.46,0.0,0.2,1.45,18.64
"Congressional District 14 (116th Congress), Illinois",734105.0,Illinois,14,17,IL,12.25,4.51,0.05,3.13,78.21,0.02,0.13,1.69,5.46
"Congressional District 16 (116th Congress), Illinois",694781.0,Illinois,16,17,IL,10.06,1.54,0.15,3.81,82.56,0.01,0.11,1.76,11.72
"Congressional Districts not defined (116th Congress), Illinois",,Illinois,ZZ,17,IL,,,,,,,,,
"Congressional District 17 (116th Congress), Illinois",681131.0,Illinois,17,17,IL,9.1,1.32,0.18,11.72,75.36,0.02,0.1,2.2,16.66
"Congressional District 3 (116th Congress), Illinois",716449.0,Illinois,03,17,IL,32.58,4.45,0.07,4.96,56.76,0.01,0.1,1.07,10.15
"Congressional District 4 (116th Congress), Illinois",692435.0,Illinois,04,17,IL,68.95,3.66,0.06,3.47,22.49,0.02,0.21,1.16,16.15
"Congressional District 11 (116th Congress), Illinois",723342.0,Illinois,11,17,IL,27.86,7.94,0.1,10.9,50.87,0.02,0.13,2.18,8.93
"Congressional District 15 (116th Congress), Illinois",691765.0,Illinois,15,17,IL,2.87,0.67,0.19,4.41,90.47,0.03,0.03,1.33,13.45
"Congressional District 8 (116th Congress), Illinois",711775.0,Illinois,08,17,IL,28.77,13.25,0.12,4.94,50.64,0.07,0.23,1.97,8.88
"Congressional District 2 (116th Congress), Indiana",724054.0,Indiana,02,18,IN,9.8,1.33,0.26,6.82,79.3,0.05,0.19,2.24,13.64
"Congressional District 6 (116th Congress), Indiana",719099.0,Indiana,06,18,IN,2.84,1.58,0.14,2.6,91.01,0.02,0.19,1.62,13.86
"Congressional District 1 (116th Congress), Indiana",714677.0,Indiana,01,18,IN,15.67,1.32,0.19,18.23,62.57,0.03,0.14,1.84,14.38
"Congressional District 3 (116th Congress), Indiana",743000.0,Indiana,03,18,IN,6.2,2.24,0.16,5.98,83.01,0.03,0.11,2.27,11.76
"Congressional District 4 (116th Congress), Indiana",756185.0,Indiana,04,18,IN,6.15,3.1,0.21,3.98,84.7,0.02,0.15,1.68,11.98
"Congressional District 1 (116th Congress), Iowa",772352.0,Iowa,01,19,IA,4.12,1.62,0.35,4.05,87.8,0.17,0.16,1.75,11.2
"Congressional District 4 (116th Congress), Iowa",755085.0,Iowa,04,19,IA,7.11,2.2,0.43,1.65,87.07,0.13,0.03,1.37,11.84
"Congressional District 3 (116th Congress), Iowa",831497.0,Iowa,03,19,IA,6.96,3.32,0.2,4.28,83.04,0.07,0.04,2.09,9.75
"Congressional District 3 (116th Congress), Kansas",768619.0,Kansas,03,20,KS,12.14,4.87,0.23,8.21,71.76,0.07,0.09,2.63,8.31
"Congressional District 4 (116th Congress), Kansas",723478.0,Kansas,04,20,KS,12.53,3.31,0.68,6.6,73.39,0.04,0.09,3.36,13.03
"Congressional District 2 (116th Congress), Kentucky",758608.0,Kentucky,02,21,KY,3.49,1.5,0.26,5.36,86.84,0.11,0.14,2.29,15.32
"Congressional District 1 (116th Congress), Kentucky",718563.0,Kentucky,01,21,KY,3.19,0.63,0.22,6.82,87.15,0.08,0.09,1.8,18.49
"Congressional District 3 (116th Congress), Kentucky",744534.0,Kentucky,03,21,KY,5.56,2.81,0.15,21.92,66.88,0.05,0.25,2.38,14.61
"Congressional District 4 (116th Congress), Kentucky",758440.0,Kentucky,04,21,KY,3.38,1.25,0.1,3.39,89.81,0.03,0.08,1.97,12.29
"Congressional District 2 (116th Congress), Louisiana",790750.0,Louisiana,02,22,LA,6.45,2.52,0.21,61.17,27.88,0.0,0.27,1.5,24.0
"Congressional District 6 (116th Congress), Louisiana",790815.0,Louisiana,06,22,LA,4.56,2.15,0.4,23.93,66.84,0.04,0.18,1.9,12.88
"Congressional District 3 (116th Congress), Louisiana",784883.0,Louisiana,03,22,LA,4.04,1.53,0.36,24.4,67.45,0.01,0.18,2.02,18.58
"Congressional District 1 (116th Congress), Maine",681859.0,Maine,01,23,ME,1.83,1.54,0.31,1.7,92.67,0.02,0.09,1.85,9.36
"Congressional District 3 (116th Congress), Florida",738669.0,Florida,03,12,FL,10.07,3.38,0.24,16.01,67.39,0.05,0.27,2.6,17.8
"Congressional District 3 (116th Congress), California",742328.0,California,03,06,CA,30.14,11.24,0.64,5.95,46.79,0.53,0.22,4.49,14.17
"Congressional District 21 (116th Congress), California",713144.0,California,21,06,CA,74.83,3.18,0.47,3.55,16.48,0.1,0.1,1.3,26.0
"Congressional District 48 (116th Congress), California",723594.0,California,48,06,CA,21.3,18.49,0.21,1.22,54.89,0.33,0.32,3.23,9.17
"Congressional District 10 (116th Congress), California",751622.0,California,10,06,CA,43.98,7.01,0.4,3.19,41.43,0.73,0.12,3.13,13.63
"Congressional District 34 (116th Congress), California",733639.0,California,34,06,CA,62.45,19.11,0.22,4.66,11.53,0.16,0.23,1.65,23.23
"Congressional District 52 (116th Congress), California",768293.0,California,52,06,CA,14.79,19.85,0.23,2.88,57.34,0.33,0.28,4.29,8.78
"Congressional District 30 (116th Congress), California",767589.0,California,30,06,CA,28.81,12.75,0.14,4.66,49.8,0.11,0.44,3.28,10.11
"Congressional District 18 (116th Congress), California",741968.0,California,18,06,CA,16.29,23.66,0.19,1.96,53.26,0.2,0.34,4.1,6.34
"Congressional District 20 (116th Congress), California",737426.0,California,20,06,CA,53.29,5.01,0.2,1.82,36.5,0.29,0.15,2.74,13.13
"Congressional District 42 (116th Congress), California",809051.0,California,42,06,CA,39.93,9.2,0.32,5.41,41.13,0.41,0.31,3.29,9.42
"Congressional District 25 (116th Congress), California",714481.0,California,25,06,CA,39.74,8.45,0.36,7.62,40.69,0.1,0.19,2.85,12.16
"Congressional District 32 (116th Congress), California",712870.0,California,32,06,CA,62.0,18.37,0.2,2.36,15.11,0.38,0.21,1.37,11.79
"Congressional District 43 (116th Congress), California",730307.0,California,43,06,CA,47.7,12.83,0.2,21.51,14.39,0.48,0.46,2.43,16.66
"Congressional District 35 (116th Congress), California",747555.0,California,35,06,CA,70.6,7.45,0.28,5.83,13.65,0.19,0.21,1.79,14.92
"Congressional District 13 (116th Congress), California",759834.0,California,13,06,CA,22.16,20.67,0.33,16.49,34.36,0.54,0.41,5.05,14.79
"Congressional District 44 (116th Congress), California",718922.0,California,44,06,CA,70.79,5.68,0.25,14.8,6.26,0.69,0.21,1.33,18.68
"Congressional District 49 (116th Congress), California",740198.0,California,49,06,CA,26.56,6.95,0.31,2.39,59.97,0.34,0.15,3.33,7.89
"Congressional District 5 (116th Congress), California",727130.0,California,05,06,CA,28.28,11.06,0.37,6.11,49.61,0.44,0.44,3.7,9.7
"Congressional District 29 (116th Congress), California",720207.0,California,29,06,CA,68.08,7.62,0.11,3.61,19.01,0.09,0.29,1.19,17.54
"Congressional District 7 (116th Congress), California",751400.0,California,07,06,CA,17.74,15.86,0.36,7.07,52.22,0.91,0.19,5.65,11.27
"Congressional District 39 (116th Congress), California",728841.0,California,39,06,CA,34.06,31.51,0.22,2.21,29.33,0.19,0.14,2.34,8.89
"Congressional District 50 (116th Congress), California",750181.0,California,50,06,CA,32.13,5.53,0.89,2.42,54.94,0.38,0.2,3.51,10.8
"Congressional District 23 (116th Congress), California",743054.0,California,23,06,CA,39.94,5.14,0.62,6.13,45.15,0.15,0.17,2.71,18.0
"Congressional District 51 (116th Congress), California",731761.0,California,51,06,CA,70.85,7.68,0.32,6.2,13.01,0.38,0.06,1.51,20.2
"Congressional District 1 (116th Congress), California",706834.0,California,01,06,CA,13.91,2.82,1.45,1.45,76.36,0.18,0.12,3.71,16.7
"Congressional District 40 (116th Congress), California",715562.0,California,40,06,CA,88.02,2.17,0.13,4.52,4.41,0.13,0.14,0.49,21.81
"Congressional District 45 (116th Congress), California",779324.0,California,45,06,CA,18.59,25.15,0.14,1.67,50.27,0.16,0.18,3.85,8.94
"Congressional District 22 (116th Congress), California",763702.0,California,22,06,CA,48.45,8.07,0.43,2.84,37.68,0.14,0.18,2.21,17.48
"Congressional District 9 (116th Congress), California",768191.0,California,09,06,CA,38.78,14.48,0.24,8.78,33.1,0.47,0.18,3.96,14.04
"Congressional District 27 (116th Congress), California",714769.0,California,27,06,CA,27.94,38.82,0.22,4.18,25.77,0.2,0.23,2.64,11.11
"Congressional District 14 (116th Congress), California",753409.0,California,14,06,CA,23.48,34.18,0.13,2.68,33.77,1.32,0.43,4.0,7.09
"Congressional District 2 (116th Congress), California",716090.0,California,02,06,CA,17.65,3.84,1.85,1.38,70.7,0.17,0.51,3.9,11.64
"Congressional District 1 (116th Congress), Colorado",832187.0,Colorado,01,08,CO,27.32,3.41,0.43,7.78,58.24,0.12,0.15,2.55,12.06
"Congressional District 3 (116th Congress), Colorado",744735.0,Colorado,03,08,CO,24.75,0.76,1.44,0.76,70.47,0.08,0.12,1.61,14.24
"Congressional District 4 (116th Congress), Colorado",819625.0,Colorado,04,08,CO,22.2,2.2,0.38,1.32,71.66,0.1,0.18,1.95,8.7
"Congressional District 2 (116th Congress), Colorado",807266.0,Colorado,02,08,CO,10.71,3.22,0.37,0.92,82.23,0.06,0.18,2.31,10.21
"Congressional District 6 (116th Congress), Colorado",817676.0,Colorado,06,08,CO,20.3,6.19,0.4,9.18,60.42,0.2,0.27,3.05,7.41
"Delegate District (at Large) (116th Congress), District of Columbia",692683.0,District of Columbia,98,11,DC,11.0,3.93,0.2,45.44,36.58,0.04,0.41,2.4,16.24
"Congressional District 3 (116th Congress), Connecticut",713930.0,Connecticut,03,09,CT,16.02,4.45,0.08,13.41,63.72,0.02,0.22,2.07,11.26
"Congressional District 4 (116th Congress), Connecticut",735686.0,Connecticut,04,09,CT,19.92,5.44,0.11,11.33,60.81,0.03,0.35,2.02,9.18
"Congressional District 2 (116th Congress), Connecticut",702769.0,Connecticut,02,09,CT,8.62,3.39,0.26,3.64,81.27,0.02,0.17,2.64,8.29
"Congressional District 17 (116th Congress), Florida",773684.0,Florida,17,12,FL,15.9,1.34,0.26,7.03,73.71,0.05,0.14,1.58,13.87
"Congressional District 6 (116th Congress), Florida",767325.0,Florida,06,12,FL,12.9,1.77,0.3,10.24,72.83,0.03,0.24,1.69,13.75
"Congressional District 5 (116th Congress), Florida",731618.0,Florida,05,12,FL,8.49,2.56,0.25,46.69,39.25,0.07,0.19,2.5,22.49
"Congressional District 24 (116th Congress), Florida",746402.0,Florida,24,12,FL,40.38,1.2,0.15,45.88,11.15,0.04,0.42,0.78,21.66
"Congressional District 11 (116th Congress), Florida",772901.0,Florida,11,12,FL,10.66,1.27,0.32,7.08,78.54,0.03,0.37,1.72,13.15
"Congressional District 23 (116th Congress), Florida",760118.0,Florida,23,12,FL,38.98,4.23,0.26,13.24,40.66,0.07,0.46,2.1,10.34
"Congressional District 8 (116th Congress), Florida",754594.0,Florida,08,12,FL,10.97,2.13,0.24,9.11,74.45,0.08,0.3,2.73,11.72
"Congressional District 18 (116th Congress), Florida",771253.0,Florida,18,12,FL,16.68,2.34,0.21,12.57,66.17,0.06,0.27,1.7,10.76
"Congressional District 20 (116th Congress), Florida",788175.0,Florida,20,12,FL,24.7,2.66,0.09,52.55,17.47,0.03,0.53,1.97,19.01
"Congressional District 25 (116th Congress), Florida",771549.0,Florida,25,12,FL,75.61,1.03,0.16,3.62,19.05,0.01,0.1,0.43,16.36
"Congressional District 2 (116th Congress), Maine",653633.0,Maine,02,23,ME,1.47,0.68,0.91,0.89,93.73,0.03,0.09,2.2,14.34
"Congressional District 1 (116th Congress), Maryland",732773.0,Maryland,01,24,MD,4.06,2.16,0.15,11.76,79.44,0.01,0.1,2.32,9.12
"Congressional District 3 (116th Congress), Maryland",757053.0,Maryland,03,24,MD,9.17,7.26,0.2,21.93,57.96,0.05,0.44,2.98,7.96
"Congressional District 4 (116th Congress), Maryland",752243.0,Maryland,04,24,MD,16.82,3.05,0.13,51.62,25.7,0.04,0.36,2.29,8.01
"Congressional District 1 (116th Congress), Alabama",710135.0,Alabama,01,01,AL,3.23,1.41,1.07,27.39,65.08,0.02,0.27,1.53,16.74
"Congressional District 3 (116th Congress), Alabama",708888.0,Alabama,03,01,AL,3.13,1.85,0.27,25.48,67.44,0.01,0.14,1.68,17.31
"Congressional District 5 (116th Congress), Alabama",720362.0,Alabama,05,01,AL,5.22,1.72,0.58,17.53,72.38,0.07,0.18,2.32,13.7
"Congressional District 4 (116th Congress), Alabama",684757.0,Alabama,04,01,AL,6.61,0.54,0.64,6.98,83.37,0.05,0.07,1.74,17.36
"Congressional District 7 (116th Congress), Alabama",667654.0,Alabama,07,01,AL,3.16,0.94,0.15,62.96,31.63,0.04,0.11,1.01,24.9
"Congressional District 2 (116th Congress), Alabama",679684.0,Alabama,02,01,AL,3.75,1.16,0.36,31.19,61.39,0.03,0.15,1.98,17.99
"Congressional District 6 (116th Congress), Alabama",704770.0,Alabama,06,01,AL,4.84,1.71,0.17,15.6,75.77,0.02,0.23,1.67,9.92
"Congressional District (at Large) (116th Congress), Alaska",737068.0,Alaska,00,02,AK,7.04,6.09,14.42,3.1,60.63,1.22,0.23,7.27,10.69
"Congressional District 1 (116th Congress), Arizona",762575.0,Arizona,01,04,AZ,23.09,1.55,22.17,2.23,48.26,0.19,0.18,2.33,19.48
"Congressional District 3 (116th Congress), Arizona",776579.0,Arizona,03,04,AZ,62.72,1.84,3.18,4.37,26.33,0.15,0.1,1.31,20.28
"Congressional District 5 (116th Congress), Arizona",820915.0,Arizona,05,04,AZ,18.45,4.8,0.93,3.43,69.54,0.18,0.13,2.53,8.06
"Congressional District 4 (116th Congress), Arizona",786254.0,Arizona,04,04,AZ,19.36,1.18,1.59,1.66,73.84,0.13,0.06,2.17,12.93
"Congressional District 7 (116th Congress), Arizona",811872.0,Arizona,07,04,AZ,63.98,2.28,2.09,9.36,20.11,0.18,0.16,1.85,26.07
"Congressional District 2 (116th Congress), Arizona",724083.0,Arizona,02,04,AZ,28.82,3.03,0.95,3.74,60.4,0.23,0.17,2.66,14.74
"Congressional District 6 (116th Congress), Arizona",792368.0,Arizona,06,04,AZ,17.33,4.99,1.56,2.78,70.54,0.1,0.18,2.52,10.7
"Congressional District 8 (116th Congress), Arizona",790494.0,Arizona,08,04,AZ,20.42,3.78,0.71,4.33,67.99,0.17,0.18,2.41,8.65
"Congressional District 3 (116th Congress), Arkansas",807399.0,Arkansas,03,05,AR,14.44,2.97,0.99,2.98,74.77,0.9,0.2,2.76,14.67
"Congressional District 2 (116th Congress), Arkansas",762623.0,Arkansas,02,05,AR,5.24,1.64,0.31,22.58,67.81,0.06,0.19,2.16,15.55
"Congressional District 36 (116th Congress), California",748453.0,California,36,06,CA,48.88,3.41,0.75,4.36,40.57,0.14,0.2,1.69,18.23
"Congressional District 46 (116th Congress), California",730435.0,California,46,06,CA,66.26,13.11,0.18,1.74,17.05,0.33,0.13,1.2,15.92
"Congressional District 33 (116th Congress), California",711557.0,California,33,06,CA,12.99,14.74,0.17,3.19,63.77,0.18,0.41,4.55,8.16
"Congressional District 15 (116th Congress), California",779710.0,California,15,06,CA,22.15,34.49,0.28,5.35,32.19,1.04,0.22,4.3,6.07
"Congressional District 47 (116th Congress), California",711813.0,California,47,06,CA,34.97,22.69,0.3,7.1,31.32,0.53,0.27,2.82,14.48
"Congressional District 5 (116th Congress), Maryland",762356.0,Maryland,05,24,MD,9.33,4.07,0.32,38.06,44.33,0.03,0.24,3.62,6.67
"Congressional District 7 (116th Congress), Maryland",718530.0,Maryland,07,24,MD,3.86,7.59,0.25,52.32,33.18,0.04,0.33,2.43,15.81
"Congressional District 2 (116th Congress), Maryland",764509.0,Maryland,02,24,MD,7.29,5.33,0.23,34.9,48.88,0.04,0.28,3.05,10.89
"Congressional District 6 (116th Congress), Maryland",768933.0,Maryland,06,24,MD,14.1,11.16,0.17,13.4,57.81,0.05,0.25,3.06,9.01
"Congressional District 8 (116th Congress), Maryland",762451.0,Maryland,08,24,MD,15.45,9.19,0.15,12.09,59.48,0.04,0.57,3.03,6.47
"Congressional District 4 (116th Congress), Massachusetts",757680.0,Massachusetts,04,25,MA,5.08,6.49,0.05,3.0,82.28,0.03,0.76,2.3,6.78
"Congressional District 7 (116th Congress), Massachusetts",802775.0,Massachusetts,07,25,MA,22.48,10.42,0.19,23.33,40.14,0.06,0.88,2.5,18.51
"Congressional District 2 (116th Congress), Massachusetts",748728.0,Massachusetts,02,25,MA,9.89,5.59,0.2,4.87,76.87,0.06,0.34,2.18,10.9
"Congressional District 9 (116th Congress), Massachusetts",741094.0,Massachusetts,09,25,MA,5.6,1.41,0.22,2.86,85.89,0.02,1.76,2.24,9.04
"Congressional District 6 (116th Congress), Massachusetts",770005.0,Massachusetts,06,25,MA,9.75,4.29,0.11,3.3,80.39,0.03,0.29,1.85,7.51
"Congressional District 8 (116th Congress), Massachusetts",767105.0,Massachusetts,08,25,MA,5.86,8.18,0.15,9.99,72.11,0.03,1.73,1.96,8.29
"Congressional District 1 (116th Congress), Massachusetts",728716.0,Massachusetts,01,25,MA,18.32,2.12,0.14,5.64,71.77,0.01,0.15,1.85,14.03
"Congressional District 5 (116th Congress), Massachusetts",768212.0,Massachusetts,05,25,MA,9.2,11.88,0.09,5.06,70.27,0.02,0.98,2.5,7.53
"Congressional District 1 (116th Congress), Michigan",698033.0,Michigan,01,26,MI,2.01,0.68,2.39,1.42,90.83,0.04,0.06,2.56,13.3
