NAME,Total Population,state,congressional district,state_fips,state_abbrev,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
"Congressional District 2 (116th Congress), Michigan",739228.0,Michigan,02,26,MI,9.71,2.25,0.44,6.34,78.62,0.02,0.07,2.55,11.85
"Congressional District 14 (116th Congress), Michigan",691180.0,Michigan,14,26,MI,4.74,5.02,0.25,56.09,31.12,0.04,0.25,2.5,21.68
"Congressional District 3 (116th Congress), Michigan",742923.0,Michigan,03,26,MI,7.5,2.09,0.25,8.04,79.12,0.01,0.08,2.92,12.47
"Congressional District 5 (116th Congress), Michigan",676131.0,Michigan,05,26,MI,4.99,0.92,0.33,16.97,73.85,0.01,0.09,2.83,19.09
"Congressional District 4 (116th Congress), Michigan",701512.0,Michigan,04,26,MI,3.29,1.0,0.65,1.8,91.29,0.03,0.06,1.88,14.58
"Congressional Districts not defined (116th Congress), Michigan",,Michigan,ZZ,26,MI,,,,,,,,,
"Congressional District 9 (116th Congress), Michigan",717778.0,Michigan,09,26,MI,2.57,4.65,0.34,13.77,75.91,0.03,0.22,2.5,11.95
"Congressional District 12 (116th Congress), Michigan",710371.0,Michigan,12,26,MI,5.97,5.59,0.2,10.72,74.31,0.02,0.2,3.0,16.23
"Congressional District 7 (116th Congress), Minnesota",666100.0,Minnesota,07,27,MN,4.86,0.94,2.75,1.49,88.14,0.06,0.06,1.71,10.77
"Congressional District 6 (116th Congress), Minnesota",710595.0,Minnesota,06,27,MN,2.98,2.53,0.37,3.47,88.45,0.01,0.11,2.08,6.78
"Congressional District 8 (116th Congress), Minnesota",666672.0,Minnesota,08,27,MN,1.84,0.77,2.44,1.05,91.55,0.02,0.04,2.27,11.56
"Congressional District 3 (116th Congress), Minnesota",716887.0,Minnesota,03,27,MN,4.36,7.5,0.22,8.12,76.81,0.03,0.22,2.74,5.19
"Congressional District 5 (116th Congress), Minnesota",712914.0,Minnesota,05,27,MN,9.36,6.01,0.9,16.78,62.88,0.04,0.25,3.79,14.91
"Congressional District 10 (116th Congress), Texas",875936.0,Texas,10,48,TX,28.98,5.8,0.15,11.02,51.79,0.02,0.24,2.0,9.04
"Congressional District 35 (116th Congress), Texas",825790.0,Texas,35,48,TX,61.93,1.79,0.15,8.54,25.8,0.02,0.18,1.58,19.48
"Congressional District 22 (116th Congress), Texas",911440.0,Texas,22,48,TX,25.93,18.54,0.28,13.59,39.4,0.04,0.19,2.04,7.34
"Congressional District 19 (116th Congress), Texas",727765.0,Texas,19,48,TX,37.19,1.45,0.36,5.87,53.38,0.04,0.13,1.58,16.99
"Congressional District 3 (116th Congress), Utah",761759.0,Utah,03,49,UT,10.63,1.89,1.31,0.57,82.4,0.74,0.12,2.33,10.29
"Congressional District 2 (116th Congress), Utah",766444.0,Utah,02,49,UT,15.59,2.65,0.97,1.26,76.03,1.19,0.2,2.11,11.73
"Congressional District 3 (116th Congress), Virginia",739947.0,Virginia,03,51,VA,6.43,2.59,0.27,45.44,41.27,0.11,0.3,3.59,15.5
"Congressional District 4 (116th Congress), Virginia",770323.0,Virginia,04,51,VA,5.68,1.73,0.24,40.62,48.51,0.05,0.27,2.89,14.64
"Congressional District 2 (116th Congress), Virginia",738524.0,Virginia,02,51,VA,8.13,5.51,0.25,19.19,62.39,0.09,0.25,4.19,8.94
"Congressional District 6 (116th Congress), Virginia",753338.0,Virginia,06,51,VA,5.57,1.81,0.21,10.94,79.01,0.04,0.2,2.21,13.71
"Congressional District 1 (116th Congress), Washington",754006.0,Washington,01,53,WA,9.06,11.69,1.02,1.26,72.42,0.21,0.17,4.15,6.58
"Congressional District 5 (116th Congress), Washington",714669.0,Washington,05,53,WA,6.67,2.43,1.37,1.49,83.56,0.43,0.08,3.97,14.41
"Congressional District 2 (116th Congress), Washington",741822.0,Washington,02,53,WA,11.01,8.85,0.99,3.05,70.72,0.53,0.18,4.66,10.32
"Congressional District 6 (116th Congress), Washington",709226.0,Washington,06,53,WA,7.68,4.07,1.74,3.45,76.55,0.51,0.11,5.89,11.09
"Congressional District 3 (116th Congress), West Virginia",584131.0,West Virginia,03,54,WV,1.09,0.52,0.18,3.75,92.86,0.01,0.16,1.43,21.29
"Congressional District 1 (116th Congress), Wisconsin",718226.0,Wisconsin,01,55,WI,9.89,1.98,0.32,5.5,80.32,0.03,0.21,1.76,9.37
"Congressional District 5 (116th Congress), Wisconsin",725071.0,Wisconsin,05,55,WI,5.92,2.88,0.25,2.37,86.76,0.03,0.08,1.71,6.88
"Congressional District 2 (116th Congress), Wisconsin",762159.0,Wisconsin,02,55,WI,6.51,4.39,0.36,4.42,81.72,0.03,0.11,2.45,11.03
"Congressional District 16 (116th Congress), Texas",737398.0,Texas,16,48,TX,80.73,1.27,0.25,3.33,13.21,0.14,0.07,1.0,19.27
"Congressional District 24 (116th Congress), Texas",802353.0,Texas,24,48,TX,24.5,14.31,0.32,11.87,45.93,0.25,0.3,2.52,7.88
"Congressional District 33 (116th Congress), Texas",739374.0,Texas,33,48,TX,67.38,2.23,0.16,15.48,13.8,0.03,0.03,0.89,22.6
"Congressional District 11 (116th Congress), Texas",772210.0,Texas,11,48,TX,38.73,1.06,0.32,3.75,54.7,0.04,0.12,1.28,12.48
"Congressional District 15 (116th Congress), Texas",786367.0,Texas,15,48,TX,81.6,1.06,0.09,1.75,14.87,0.03,0.17,0.43,25.68
"Congressional District 23 (116th Congress), Texas",769173.0,Texas,23,48,TX,69.42,1.54,0.35,3.36,24.12,0.05,0.13,1.04,16.97
"Congressional District 12 (116th Congress), Texas",811608.0,Texas,12,48,TX,23.18,3.63,0.38,8.87,61.38,0.14,0.14,2.27,10.01
"Congressional District 8 (116th Congress), Texas",858427.0,Texas,08,48,TX,22.96,3.0,0.33,8.41,63.37,0.03,0.11,1.8,10.6
"Congressional District 34 (116th Congress), Texas",721500.0,Texas,34,48,TX,84.56,0.6,0.12,1.11,13.27,0.02,0.03,0.3,27.25
"Congressional District 30 (116th Congress), Texas",782114.0,Texas,30,48,TX,39.42,1.79,0.15,42.08,15.03,0.02,0.15,1.36,20.62
"Congressional District 18 (116th Congress), Texas",778625.0,Texas,18,48,TX,43.51,3.89,0.12,34.92,16.1,0.1,0.23,1.14,21.8
"Congressional District 2 (116th Congress), Texas",794851.0,Texas,02,48,TX,31.68,7.61,0.17,12.01,46.32,0.1,0.33,1.78,10.47
"Congressional District 20 (116th Congress), Texas",809092.0,Texas,20,48,TX,69.07,2.8,0.17,4.95,21.19,0.13,0.09,1.61,17.54
"Congressional District 31 (116th Congress), Texas",856506.0,Texas,31,48,TX,24.63,5.3,0.19,10.9,55.41,0.22,0.16,3.19,9.19
"Congressional District 25 (116th Congress), Texas",783085.0,Texas,25,48,TX,18.94,3.17,0.29,6.98,67.63,0.28,0.07,2.63,10.04
"Congressional District 32 (116th Congress), Texas",774063.0,Texas,32,48,TX,26.57,8.76,0.27,13.46,48.19,0.03,0.25,2.48,10.75
"Congressional District 21 (116th Congress), Texas",810719.0,Texas,21,48,TX,29.73,3.68,0.17,3.47,60.65,0.04,0.17,2.1,10.4
"Congressional District 3 (116th Congress), Texas",867470.0,Texas,03,48,TX,14.78,16.28,0.33,9.57,56.36,0.07,0.24,2.37,6.32
"Congressional District 4 (116th Congress), Texas",751164.0,Texas,04,48,TX,14.24,1.18,0.63,10.41,71.12,0.04,0.11,2.29,13.43
"Congressional District 13 (116th Congress), Texas",710097.0,Texas,13,48,TX,27.24,2.07,0.55,5.22,62.85,0.16,0.1,1.81,14.55
"Congressional District 26 (116th Congress), Texas",874507.0,Texas,26,48,TX,18.43,6.93,0.39,8.12,63.27,0.07,0.16,2.63,6.97
"Congressional District 9 (116th Congress), Texas",782123.0,Texas,09,48,TX,39.22,11.74,0.12,37.12,10.38,0.04,0.27,1.11,19.06
"Congressional District (at Large) (116th Congress), Vermont",624313.0,Vermont,00,50,VT,1.93,1.66,0.29,1.27,92.8,0.05,0.12,1.89,10.95
"Congressional District 1 (116th Congress), Utah",762720.0,Utah,01,49,UT,12.97,1.4,0.85,1.03,81.11,0.3,0.1,2.22,9.43
"Congressional District 4 (116th Congress), Utah",805925.0,Utah,04,49,UT,16.81,3.18,0.57,1.57,74.02,1.23,0.25,2.37,7.85
"Congressional District 1 (116th Congress), Virginia",793627.0,Virginia,01,51,VA,10.03,3.2,0.27,16.04,66.71,0.06,0.24,3.47,6.98
"Congressional District 10 (116th Congress), Virginia",838538.0,Virginia,10,51,VA,13.62,14.94,0.21,6.87,60.36,0.06,0.35,3.58,4.35
"Congressional District 5 (116th Congress), Virginia",735069.0,Virginia,05,51,VA,3.85,1.82,0.19,19.2,72.44,0.03,0.12,2.35,13.68
"Congressional District 7 (116th Congress), Virginia",785194.0,Virginia,07,51,VA,7.48,5.15,0.21,17.59,66.4,0.06,0.24,2.87,7.51
"Congressional District 11 (116th Congress), Virginia",793878.0,Virginia,11,51,VA,18.88,18.12,0.2,12.97,45.27,0.08,0.32,4.16,6.81
"Congressional District 9 (116th Congress), Virginia",707798.0,Virginia,09,51,VA,2.37,1.45,0.18,5.17,89.28,0.04,0.17,1.34,18.48
"Congressional District 8 (116th Congress), Virginia",798227.0,Virginia,08,51,VA,18.94,11.36,0.13,13.99,51.57,0.06,0.34,3.61,8.06
"Congressional District 3 (116th Congress), Washington",730720.0,Washington,03,53,WA,9.61,3.35,0.73,1.29,80.23,0.56,0.11,4.12,10.89
"Congressional District 10 (116th Congress), Washington",747935.0,Washington,10,53,WA,11.82,6.6,1.12,6.09,65.81,1.69,0.15,6.72,11.29
"Congressional District 4 (116th Congress), Washington",725467.0,Washington,04,53,WA,39.18,1.47,2.07,1.13,53.57,0.1,0.14,2.35,15.37
"Congressional District 7 (116th Congress), Washington",782676.0,Washington,07,53,WA,7.88,12.5,0.42,4.39,68.63,0.4,0.19,5.58,9.42
"Congressional District 9 (116th Congress), Washington",746443.0,Washington,09,53,WA,12.41,23.24,0.49,11.41,45.01,1.33,0.36,5.75,10.87
"Congressional District 8 (116th Congress), Washington",751143.0,Washington,08,53,WA,11.75,9.3,0.92,2.76,69.62,0.62,0.19,4.83,8.35
"Congressional District 1 (116th Congress), West Virginia",611109.0,West Virginia,01,54,WV,1.46,0.98,0.19,2.51,93.07,0.04,0.19,1.56,16.41
"Congressional District 2 (116th Congress), West Virginia",622065.0,West Virginia,02,54,WV,2.1,0.85,0.22,4.6,90.09,0.01,0.18,1.93,15.19
"Congressional District 3 (116th Congress), Wisconsin",721298.0,Wisconsin,03,55,WI,2.71,2.3,0.52,1.23,91.64,0.07,0.07,1.46,12.39
"Congressional District 4 (116th Congress), Wisconsin",710311.0,Wisconsin,04,55,WI,17.26,4.11,0.45,33.3,41.94,0.03,0.17,2.76,22.94
"Congressional District 7 (116th Congress), Wisconsin",709130.0,Wisconsin,07,55,WI,2.39,1.64,1.89,0.73,91.55,0.05,0.06,1.69,10.18
"Congressional District 6 (116th Congress), Wisconsin",713539.0,Wisconsin,06,55,WI,4.62,2.49,0.43,1.77,89.0,0.04,0.05,1.59,8.93
"Congressional District 8 (116th Congress), Wisconsin",730982.0,Wisconsin,08,55,WI,5.3,2.32,2.29,1.43,86.69,0.02,0.09,1.87,9.14
"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",3318447.0,Puerto Rico,98,72,PR,98.72,0.07,0.0,0.1,0.96,0.0,0.09,0.06,44.05
"Congressional District 1 (116th Congress), Mississippi",762562.0,Mississippi,01,28,MS,3.35,0.82,0.18,27.72,66.43,0.02,0.13,1.36,16.27
"Congressional District 3 (116th Congress), Mississippi",748578.0,Mississippi,03,28,MS,2.36,1.07,0.98,35.47,59.19,0.02,0.11,0.8,18.87
"Congressional District 4 (116th Congress), Mississippi",769714.0,Mississippi,04,28,MS,4.26,1.5,0.31,23.44,68.51,0.03,0.1,1.85,19.64
"Congressional District 2 (116th Congress), Mississippi",703564.0,Mississippi,02,28,MS,2.15,0.53,0.32,65.98,30.26,0.02,0.1,0.64,26.99
"Congressional District 18 (116th Congress), Pennsylvania",696074.0,Pennsylvania,18,42,PA,2.5,3.91,0.08,17.7,72.56,0.02,0.19,3.03,15.29
"Congressional District 7 (116th Congress), Pennsylvania",726011.0,Pennsylvania,07,42,PA,18.91,3.04,0.09,5.85,69.87,0.02,0.2,2.0,10.86
"Congressional District 2 (116th Congress), Pennsylvania",737498.0,Pennsylvania,02,42,PA,25.61,7.71,0.18,25.65,38.25,0.01,0.48,2.11,24.58
"Congressional District 17 (116th Congress), Pennsylvania",711092.0,Pennsylvania,17,42,PA,1.64,2.76,0.08,5.84,87.2,0.03,0.22,2.24,7.79
"Congressional District 1 (116th Congress), Pennsylvania",709812.0,Pennsylvania,01,42,PA,5.41,5.93,0.14,3.97,82.65,0.02,0.16,1.72,5.76
"Congressional District 16 (116th Congress), Pennsylvania",687946.0,Pennsylvania,16,42,PA,2.55,1.09,0.14,4.44,89.47,0.01,0.16,2.14,13.7
"Congressional District 8 (116th Congress), Pennsylvania",694123.0,Pennsylvania,08,42,PA,11.45,1.81,0.1,5.26,79.67,0.02,0.07,1.63,13.88
"Congressional District 10 (116th Congress), Pennsylvania",731136.0,Pennsylvania,10,42,PA,8.36,3.69,0.13,10.52,74.73,0.01,0.16,2.42,10.44
"Congressional District 13 (116th Congress), Pennsylvania",697483.0,Pennsylvania,13,42,PA,3.31,0.62,0.1,2.64,91.58,0.01,0.1,1.65,11.8
"Congressional District 11 (116th Congress), Pennsylvania",732060.0,Pennsylvania,11,42,PA,8.59,1.86,0.1,3.2,84.6,0.03,0.08,1.54,9.31
"Congressional District 9 (116th Congress), Pennsylvania",705270.0,Pennsylvania,09,42,PA,6.68,1.06,0.11,2.47,88.63,0.01,0.06,0.99,10.57
"Congressional District 4 (116th Congress), Pennsylvania",726966.0,Pennsylvania,04,42,PA,5.04,6.5,0.06,9.38,76.59,0.03,0.15,2.25,6.01
"Congressional District 15 (116th Congress), Pennsylvania",680881.0,Pennsylvania,15,42,PA,1.49,0.69,0.08,1.92,94.68,0.02,0.06,1.07,12.87
"Congressional District 5 (116th Congress), Pennsylvania",716440.0,Pennsylvania,05,42,PA,4.39,6.88,0.15,23.97,62.27,0.01,0.19,2.14,12.2
"Congressional District 3 (116th Congress), Pennsylvania",722876.0,Pennsylvania,03,42,PA,4.73,5.89,0.23,56.07,30.31,0.04,0.28,2.45,24.14
"Congressional District 7 (116th Congress), Missouri",777375.0,Missouri,07,29,MO,5.13,1.29,0.89,1.86,87.95,0.19,0.08,2.6,15.59
"Congressional District 6 (116th Congress), Missouri",772869.0,Missouri,06,29,MO,4.07,1.35,0.34,4.17,87.42,0.14,0.08,2.44,11.16
"Congressional District 8 (116th Congress), Missouri",738901.0,Missouri,08,29,MO,2.07,0.75,0.43,4.53,90.42,0.03,0.06,1.72,19.36
"Congressional District 3 (116th Congress), Missouri",788763.0,Missouri,03,29,MO,2.59,1.17,0.27,3.31,90.6,0.04,0.08,1.93,9.31
"Congressional District 4 (116th Congress), Missouri",767364.0,Missouri,04,29,MO,3.93,1.62,0.54,4.59,86.39,0.12,0.11,2.7,15.49
"Congressional District (at Large) (116th Congress), Montana",1050649.0,Montana,00,30,MT,3.84,0.77,6.07,0.44,86.09,0.07,0.06,2.66,13.13
"Congressional District 3 (116th Congress), Nebraska",601272.0,Nebraska,03,31,NE,11.91,0.8,0.77,1.34,83.72,0.05,0.07,1.34,11.44
"Congressional District 1 (116th Congress), Nevada",692355.0,Nevada,01,32,NV,46.18,8.48,0.46,11.32,29.46,0.74,0.38,2.99,20.71
"Congressional District 3 (116th Congress), Nevada",811145.0,Nevada,03,32,NV,17.91,13.57,0.4,7.21,55.4,0.64,0.47,4.41,8.5
"Congressional District 2 (116th Congress), Nevada",716367.0,Nevada,02,32,NV,22.68,3.94,1.99,1.8,66.28,0.42,0.21,2.67,11.19
"Congressional District 2 (116th Congress), New Hampshire",667971.0,New Hampshire,02,33,NH,3.82,2.81,0.17,1.22,89.99,0.03,0.12,1.83,7.31
"Congressional District 1 (116th Congress), New Jersey",725599.0,New Jersey,01,34,NJ,13.7,5.21,0.07,16.22,62.21,0.02,0.31,2.26,11.05
"Congressional District 10 (116th Congress), New Jersey",751853.0,New Jersey,10,34,NJ,20.79,7.13,0.2,49.87,19.0,0.02,1.18,1.81,17.09
"Congressional District 5 (116th Congress), New Jersey",736353.0,New Jersey,05,34,NJ,14.05,10.48,0.15,4.79,68.85,0.02,0.16,1.5,5.2
"Congressional District 7 (116th Congress), New Jersey",739089.0,New Jersey,07,34,NJ,12.6,10.35,0.08,4.48,70.32,0.01,0.56,1.61,4.84
"Congressional District 9 (116th Congress), New Jersey",752451.0,New Jersey,09,34,NJ,38.12,13.28,0.1,9.07,37.65,0.02,0.37,1.39,14.05
"Congressional District 6 (116th Congress), New Jersey",733994.0,New Jersey,06,34,NJ,22.15,18.46,0.13,9.91,47.15,0.03,0.31,1.86,9.82
"Congressional District 12 (116th Congress), New Jersey",748655.0,New Jersey,12,34,NJ,17.92,16.9,0.13,16.72,46.11,0.01,0.48,1.72,9.53
"Congressional District 1 (116th Congress), New Mexico",695715.0,New Mexico,01,35,NM,50.09,2.36,3.77,2.32,39.3,0.06,0.22,1.88,17.14
"Congressional District 3 (116th Congress), New Mexico",696624.0,New Mexico,03,35,NM,40.92,1.17,17.68,1.42,36.75,0.08,0.21,1.77,18.67
"Congressional District 2 (116th Congress), New York",711836.0,New York,02,36,NY,23.81,3.38,0.16,9.3,61.44,0.03,0.44,1.43,6.57
"Congressional District 25 (116th Congress), New York",716736.0,New York,25,36,NY,9.03,3.7,0.18,14.94,69.69,0.02,0.2,2.25,14.61
"Congressional District 3 (116th Congress), New York",727151.0,New York,03,36,NY,10.67,16.51,0.13,2.93,67.45,0.02,0.66,1.64,5.27
"Congressional District 10 (116th Congress), New York",731480.0,New York,10,36,NY,12.95,18.95,0.17,3.49,61.79,0.01,0.41,2.24,15.49
"Congressional District 13 (116th Congress), New York",767710.0,New York,13,36,NY,54.58,4.45,0.1,24.23,14.41,0.03,0.42,1.77,25.6
"Congressional District 26 (116th Congress), New York",709541.0,New York,26,36,NY,6.74,4.23,0.34,17.71,68.38,0.04,0.12,2.45,18.29
"Congressional District 9 (116th Congress), New York",726825.0,New York,09,36,NY,11.66,7.05,0.09,45.71,32.5,0.02,0.5,2.48,16.37
"Congressional District 1 (116th Congress), New York",716532.0,New York,01,36,NY,15.42,3.93,0.17,5.08,73.85,0.01,0.3,1.24,7.1
"Congressional District 7 (116th Congress), New York",730822.0,New York,07,36,NY,39.87,17.7,0.15,8.25,31.42,0.07,0.49,2.05,23.15
"Congressional District 17 (116th Congress), New York",739314.0,New York,17,36,NY,22.3,5.88,0.12,9.71,59.92,0.01,0.33,1.73,10.14
"Congressional District 6 (116th Congress), New York",729469.0,New York,06,36,NY,20.02,39.66,0.26,3.63,33.8,0.01,0.54,2.07,12.4
"Congressional District 5 (116th Congress), New York",771094.0,New York,05,36,NY,19.54,14.38,0.33,47.38,10.84,0.06,4.58,2.89,11.21
"Congressional District 16 (116th Congress), New York",744267.0,New York,16,36,NY,25.79,5.22,0.22,30.77,35.45,0.02,0.9,1.64,12.27
"Congressional District 11 (116th Congress), New York",730637.0,New York,11,36,NY,17.31,14.43,0.11,7.06,58.93,0.05,0.23,1.88,12.81
"Congressional District 15 (116th Congress), New York",744473.0,New York,15,36,NY,66.13,1.79,0.21,27.93,2.59,0.04,0.44,0.88,35.69
"Congressional District 23 (116th Congress), New York",695215.0,New York,23,36,NY,3.99,2.32,0.54,2.68,88.22,0.02,0.13,2.11,15.5
"Congressional District 8 (116th Congress), New York",772576.0,New York,08,36,NY,17.6,5.72,0.13,49.45,24.6,0.02,0.56,1.92,20.64
"Congressional District 12 (116th Congress), New York",721821.0,New York,12,36,NY,13.69,14.17,0.12,4.62,64.54,0.04,0.39,2.43,10.06
"Congressional District 18 (116th Congress), New York",722792.0,New York,18,36,NY,17.07,2.99,0.21,9.01,68.23,0.03,0.4,2.06,9.39
"Congressional District 1 (116th Congress), North Carolina",755156.0,North Carolina,01,37,NC,8.89,2.05,0.64,43.61,42.24,0.06,0.23,2.29,20.64
"Congressional District 7 (116th Congress), North Carolina",795777.0,North Carolina,07,37,NC,9.58,0.82,0.76,18.59,67.94,0.05,0.11,2.15,17.19
"Congressional District 2 (116th Congress), North Carolina",840465.0,North Carolina,02,37,NC,9.77,1.87,0.4,18.8,66.29,0.05,0.29,2.53,9.99
"Congressional District 6 (116th Congress), North Carolina",768774.0,North Carolina,06,37,NC,10.11,1.74,0.32,19.82,65.6,0.03,0.28,2.1,15.15
"Congressional District 3 (116th Congress), North Carolina",756531.0,North Carolina,03,37,NC,8.01,1.51,0.34,19.78,67.23,0.07,0.11,2.95,14.9
"Congressional District 10 (116th Congress), North Carolina",760336.0,North Carolina,10,37,NC,6.67,1.73,0.31,12.06,77.12,0.03,0.25,1.84,14.52
"Congressional District 4 (116th Congress), North Carolina",857571.0,North Carolina,04,37,NC,10.48,8.89,0.32,22.09,55.52,0.04,0.27,2.4,11.23
"Congressional District 5 (116th Congress), North Carolina",756559.0,North Carolina,05,37,NC,9.68,1.53,0.36,14.42,72.37,0.08,0.17,1.39,16.99
"Congressional District 11 (116th Congress), North Carolina",758083.0,North Carolina,11,37,NC,6.27,1.15,1.46,3.13,86.12,0.07,0.18,1.63,14.53
"Congressional District 8 (116th Congress), North Carolina",788902.0,North Carolina,08,37,NC,10.34,2.42,1.06,22.6,60.09,0.14,0.27,3.08,14.43
"Congressional District 12 (116th Congress), North Carolina",865614.0,North Carolina,12,37,NC,15.15,5.75,0.26,36.7,39.27,0.06,0.34,2.47,13.19
